"","Reporting_Year...Année","NPRI_ID...No_INRP","Facility_Name...Installation","Company_Name...Dénomination_sociale_de_l.entreprise","NAICS...Code_SCIAN","Province...Province","CAS_Number...No_CAS","Substance.Name..English....Nom.de.substance..Anglais.","Substance.Name..French....Nom.de.substance..Français.","Group..English....Groupe..Anglais.","Group..French....Groupe..Français.","Category..English....Catégorie..Anglais.","Category..French....Catégorie..Français.","Quantity...Quantité","Units...Unités","Estimation_Method...Méthode_d.estimation"
"429",2014,5515,"PAPIERS DE PUBLICATION KRUGER INC. USINE DE TROIS-RIVIÈRES","PAPIERS DE PUBLICATION KRUGER INC.",322122,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",51.03,"tonnes","M3"
"430",2014,5528,"CENTRE D'ÉPURATION RIVE-SUD (CERS)","VILLE DE LONGUEUIL",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",34.2,"tonnes","M3"
"431",2014,5528,"CENTRE D'ÉPURATION RIVE-SUD (CERS)","VILLE DE LONGUEUIL",221320,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",5.2,"tonnes","M3"
"432",2014,5528,"CENTRE D'ÉPURATION RIVE-SUD (CERS)","VILLE DE LONGUEUIL",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",811,"tonnes","M3"
"433",2014,5528,"CENTRE D'ÉPURATION RIVE-SUD (CERS)","VILLE DE LONGUEUIL",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Spills","Déversements",40,"tonnes","M3"
"434",2014,5528,"CENTRE D'ÉPURATION RIVE-SUD (CERS)","VILLE DE LONGUEUIL",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Spills","Déversements",12,"tonnes","M3"
"435",2014,5528,"CENTRE D'ÉPURATION RIVE-SUD (CERS)","VILLE DE LONGUEUIL",221320,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Spills","Déversements",0.6,"tonnes","M3"
"436",2014,6111,"STATION TRAITEMENT ÉTANGS AÉRÉES, REPENTIGNY/CHARLEMAGNE","VILLE DE REPENTIGNY",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",6.9,"tonnes","C"
"437",2014,6111,"STATION TRAITEMENT ÉTANGS AÉRÉES, REPENTIGNY/CHARLEMAGNE","VILLE DE REPENTIGNY",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",63.5,"tonnes","C"
"438",2014,6112,"STATION DE TRAITEMENT DES EAUX USÉES","VILLE DE REPENTIGNY",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",5.08,"tonnes","C"
"439",2014,6112,"STATION DE TRAITEMENT DES EAUX USÉES","VILLE DE REPENTIGNY",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",204.85,"tonnes","C"
"440",2014,6117,"USINE ÉPURATION LA BAIE","VILLE DE SAGUENAY",221320,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",47.754,"tonnes","M3"
"441",2014,6117,"USINE ÉPURATION LA BAIE","VILLE DE SAGUENAY",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",1.645,"tonnes","M3"
"442",2014,6117,"USINE ÉPURATION LA BAIE","VILLE DE SAGUENAY",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",3.239,"tonnes","M3"
"443",2014,6118,"USINE ÉPURATION JONQUIÈRE","VILLE DE SAGUENAY",221320,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",28,"kg","O"
"444",2014,6118,"USINE ÉPURATION JONQUIÈRE","VILLE DE SAGUENAY",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",9.027,"tonnes","M3"
"445",2014,6118,"USINE ÉPURATION JONQUIÈRE","VILLE DE SAGUENAY",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",4.704,"tonnes","M3"
"446",2014,6118,"USINE ÉPURATION JONQUIÈRE","VILLE DE SAGUENAY",221320,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",126.701,"tonnes","M3"
"447",2014,6119,"USINE ÉPURATION CHICOUTIMI","VILLE DE SAGUENAY",221320,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",84.082,"tonnes","M3"
"448",2014,6119,"USINE ÉPURATION CHICOUTIMI","VILLE DE SAGUENAY",221320,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",24.1,"kg","O"
"449",2014,6119,"USINE ÉPURATION CHICOUTIMI","VILLE DE SAGUENAY",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",7.212,"tonnes","M3"
"450",2014,6119,"USINE ÉPURATION CHICOUTIMI","VILLE DE SAGUENAY",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",3.396,"tonnes","M3"
"451",2014,6120,"STATION D'ÉPURATION DES EAUX USÉES DE GRANBY","VILLE DE GRANBY",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",3.547,"tonnes","C"
"452",2014,6120,"STATION D'ÉPURATION DES EAUX USÉES DE GRANBY","VILLE DE GRANBY",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",3.083,"tonnes","C"
"453",2014,6120,"STATION D'ÉPURATION DES EAUX USÉES DE GRANBY","VILLE DE GRANBY",221320,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",98.415,"tonnes","C"
"454",2014,6122,"STATION D'ÉPURATION DE LA HAUTE BÉCANCOUR","VILLE DE THETFORD MINES",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",77.3,"tonnes","M3"
"455",2014,6123,"USINE D'ÉPURATION","VILLE DE COWANSVILLE",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.23,"tonnes","M3"
"456",2014,6123,"USINE D'ÉPURATION","VILLE DE COWANSVILLE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",1.8,"tonnes","M3"
"457",2014,6124,"STATION D'ÉPURATION","VILLE DE SAINT-HYACINTHE",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",8.1,"tonnes","M3"
"458",2014,6124,"STATION D'ÉPURATION","VILLE DE SAINT-HYACINTHE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",53,"tonnes","M3"
"459",2014,6124,"STATION D'ÉPURATION","VILLE DE SAINT-HYACINTHE",221320,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",165,"tonnes","M3"
"460",2014,6125,"STATION D'ÉPURATION CHAMBLY-RICHELIEU","VILLE DE CHAMBLY",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",4.77,"tonnes","M3"
"461",2014,6125,"STATION D'ÉPURATION CHAMBLY-RICHELIEU","VILLE DE CHAMBLY",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",111.39,"tonnes","M3"
"462",2014,6126,"SITE DE TRAITEMENT DES EAUX USÉES DU SECTEUR SHAWINIGAN","VILLE DE SHAWINIGAN",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",68.7,"tonnes","M3"
"463",2014,6127,"USINE D'ÉPURATION DE VAUDREUIL-DORION","VILLE DE VAUDREUIL-DORION",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",101.97,"tonnes","O"
"464",2014,6127,"USINE D'ÉPURATION DE VAUDREUIL-DORION","VILLE DE VAUDREUIL-DORION",221320,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Spills","Déversements",6.2,"kg","O"
"465",2014,6127,"USINE D'ÉPURATION DE VAUDREUIL-DORION","VILLE DE VAUDREUIL-DORION",221320,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Spills","Déversements",12.43,"tonnes","O"
"466",2014,6128,"USINE D'ÉPURATION","VILLE DE SAINT-EUSTACHE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",95,"tonnes","M3"
"467",2014,6128,"USINE D'ÉPURATION","VILLE DE SAINT-EUSTACHE",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",6.5,"tonnes","M3"
"468",2014,6161,"TERMINAL DE MONTREAL-EST","ÉNERGIE VALERO INC.",412110,"QC","100-41-4","Ethylbenzene","Éthylbenzène","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0,"tonnes","O"
"469",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 06","Copper (and its compounds)","Cuivre (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.11,"tonnes","M3"
"470",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",60.68,"kg","M3"
"471",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",14.01,"tonnes","M3"
"472",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.64,"tonnes","M3"
"473",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 11","Nickel (and its compounds)","Nickel (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.44,"tonnes","M3"
"474",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",21.646,"tonnes","M3"
"475",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",22.2,"kg","M3"
"476",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 10","Mercury (and its compounds)","Mercure (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.8,"kg","M3"
"477",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.85,"tonnes","M3"
"478",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",60.67,"kg","M3"
"479",2014,6217,"MINE DE MONT-WRIGHT","ARCELORMITTAL MINES CANADA",212210,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",298.08,"tonnes","M3"
"480",2014,6314,"STATION D'ÉPURATION","VILLE DE RIVIÈRE-DU-LOUP",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",75.246,"tonnes","M1"
"481",2014,6342,"RÉGIE D'ASSAINISSEMENT DES EAUX DU BASSIN DE LAPRAIRIE","RÉGIE D'ASSAINISSEMENT DES EAUX DU BASSIN DE LAPRAIRIE",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",30.4,"tonnes","M3"
"482",2014,6342,"RÉGIE D'ASSAINISSEMENT DES EAUX DU BASSIN DE LAPRAIRIE","RÉGIE D'ASSAINISSEMENT DES EAUX DU BASSIN DE LAPRAIRIE",221320,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",24.2,"tonnes","O"
"483",2014,6342,"RÉGIE D'ASSAINISSEMENT DES EAUX DU BASSIN DE LAPRAIRIE","RÉGIE D'ASSAINISSEMENT DES EAUX DU BASSIN DE LAPRAIRIE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",92.1,"tonnes","M3"
"484",2014,6342,"RÉGIE D'ASSAINISSEMENT DES EAUX DU BASSIN DE LAPRAIRIE","RÉGIE D'ASSAINISSEMENT DES EAUX DU BASSIN DE LAPRAIRIE",221320,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",36,"kg","O"
"485",2014,6354,"STATION D'ÉPURATION DE SHERBROOKE","VILLE DE SHERBROOKE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",396.14,"tonnes","M3"
"486",2014,6354,"STATION D'ÉPURATION DE SHERBROOKE","VILLE DE SHERBROOKE",221320,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",49.72,"tonnes","M3"
"487",2014,6354,"STATION D'ÉPURATION DE SHERBROOKE","VILLE DE SHERBROOKE",221320,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",28.84,"kg","M3"
"488",2014,6354,"STATION D'ÉPURATION DE SHERBROOKE","VILLE DE SHERBROOKE",221320,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",1.35,"kg","M3"
"489",2014,6356,"STATION EST D'ÉPURATION DES EAUX USÉES","VILLE DE QUÉBEC",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",76,"tonnes","M3"
"490",2014,6356,"STATION EST D'ÉPURATION DES EAUX USÉES","VILLE DE QUÉBEC",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",898,"tonnes","M3"
"491",2014,6357,"STATION OUEST D'ÉPURATION DES EAUX USÉES","VILLE DE QUÉBEC",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",631,"tonnes","M3"
"492",2014,6357,"STATION OUEST D'ÉPURATION DES EAUX USÉES","VILLE DE QUÉBEC",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",61,"tonnes","M3"
"493",2014,6358,"USINE D'ÉPURATION ACHILLE-GAGNON","VILLE DE VICTORIAVILLE",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.18,"tonnes","M3"
"494",2014,6358,"USINE D'ÉPURATION ACHILLE-GAGNON","VILLE DE VICTORIAVILLE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",7.09,"tonnes","M3"
"495",2014,6358,"USINE D'ÉPURATION ACHILLE-GAGNON","VILLE DE VICTORIAVILLE",221320,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",21.83,"tonnes","E2"
"496",2014,6358,"USINE D'ÉPURATION ACHILLE-GAGNON","VILLE DE VICTORIAVILLE",221320,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",158.27,"tonnes","M3"
"497",2014,6367,"CASCADES CANADA ULC -TRAITEMENT DES EAUX DES 4 USINES DE P&P","CASCADES CANADA ULC.",322130,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",19,"tonnes","C"
"498",2014,6373,"STATION D'ÉPURATION ST-BASILE-ST-BRUNO","RÉGIE D'ASSSAINISSEMENT ST-BASILE-ST-BRUNO",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",12.83,"tonnes","M3"
"499",2014,6373,"STATION D'ÉPURATION ST-BASILE-ST-BRUNO","RÉGIE D'ASSSAINISSEMENT ST-BASILE-ST-BRUNO",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",152.82,"tonnes","M3"
"500",2014,6374,"STATION D'ÉPURATION SAINTE-THÉRÈSE-BLAINVILLE","RÉGIE D'ASSSAINISSEMENT SAINTE-THÉRÈSE-BLAINVILLE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",263.34,"tonnes","M3"
"501",2014,6374,"STATION D'ÉPURATION SAINTE-THÉRÈSE-BLAINVILLE","RÉGIE D'ASSSAINISSEMENT SAINTE-THÉRÈSE-BLAINVILLE",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",9.35,"tonnes","M3"
"502",2014,6375,"STATION D'ÉPURATION AUTEUIL","VILLE DE LAVAL",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",4.726,"tonnes","M3"
"503",2014,6375,"STATION D'ÉPURATION AUTEUIL","VILLE DE LAVAL",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",92.068,"tonnes","M3"
"504",2014,6376,"STATION D'ÉPURATION FABREVILLE","VILLE DE LAVAL",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",131.978,"tonnes","M3"
"505",2014,6376,"STATION D'ÉPURATION FABREVILLE","VILLE DE LAVAL",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",4.514,"tonnes","M3"
"506",2014,6377,"STATION D'ÉPURATION LA PINIÈRE","VILLE DE LAVAL",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",872.149,"tonnes","M3"
"507",2014,6377,"STATION D'ÉPURATION LA PINIÈRE","VILLE DE LAVAL",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",29.457,"tonnes","M3"
"508",2014,6378,"STATION D'ÉPURATION DES EAUX","VILLE DE MAGOG",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",13.1096,"tonnes","M3"
"509",2014,6378,"STATION D'ÉPURATION DES EAUX","VILLE DE MAGOG",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.4753,"tonnes","M3"
"510",2014,6378,"STATION D'ÉPURATION DES EAUX","VILLE DE MAGOG",221320,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",124.8433,"tonnes","M3"
"511",2014,6379,"B-1 SEPT-ÎLES","VILLE DE SEPT-ÎLES",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",76.06,"tonnes","M3"
"512",2014,6380,"RÉGIE D'ASSAINISSEMENT DES EAUX DE LA VALLÉE DU RICHELIEU","RÉGIE D'ASSAINISSEMENT DES EAUX DE LA VALLÉ DU RICHELIEU",221320,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",12.5,"kg","M3"
"513",2014,6380,"RÉGIE D'ASSAINISSEMENT DES EAUX DE LA VALLÉE DU RICHELIEU","RÉGIE D'ASSAINISSEMENT DES EAUX DE LA VALLÉ DU RICHELIEU",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",3.14,"tonnes","M3"
"514",2014,6380,"RÉGIE D'ASSAINISSEMENT DES EAUX DE LA VALLÉE DU RICHELIEU","RÉGIE D'ASSAINISSEMENT DES EAUX DE LA VALLÉ DU RICHELIEU",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",102,"tonnes","M3"
"515",2014,6381,"STATION D'ÉPURATION DES EAUX USÉES","RÉGIE INTERMUNICIPALE D'ASS. DES EAUX ROSEMÈRE ET LORRAINE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",82,"tonnes","O"
"516",2014,6385,"SITE DE TRAITEMENT DES EAUX USÉES DU SECTEUR GRAND-MÈRE & ST","VILLE DE SHAWINIGAN",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",52.7,"tonnes","M3"
"517",2014,6389,"STATION D'ÉPURATION TERREBONNE-MASCOUCHE","RÉGIE D'ASSSAINISSEMENT TERREBONNE-MASCOUCHE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",71.7,"tonnes","M3"
"518",2014,6389,"STATION D'ÉPURATION TERREBONNE-MASCOUCHE","RÉGIE D'ASSSAINISSEMENT TERREBONNE-MASCOUCHE",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",3.53,"tonnes","M3"
"519",2014,6392,"STATION DE TRAITEMENT DES EAUX USÉES","RÉGIE DE TRAITEMENT DES EAUX USÉES DE DEUX-MONTAGNES",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",67.79,"tonnes","M3"
"520",2014,6425,"RIO TINTO FER ET TITANE INC. - HAVRE-SAINT-PIERRE","RIO TINTO FER ET TITANE INC.",212210,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",14.4,"tonnes","M3"
"521",2014,6471,"USINE D'ÉPURATION DES EAUX USÉES","VILLE DE SAINTE-JULIE",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",6.78,"tonnes","C"
"522",2014,6471,"USINE D'ÉPURATION DES EAUX USÉES","VILLE DE SAINTE-JULIE",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",41.72,"tonnes","C"
"523",2014,8518,"USINE D'ÉPURATION","VILLE DE VAL-D'OR",221320,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.478,"tonnes","M3"
"524",2014,8518,"USINE D'ÉPURATION","VILLE DE VAL-D'OR",221320,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",4.844,"tonnes","M3"
"525",2014,8519,"USINE CAMFLO INC","MINES RICHMONT INC",212220,"QC","NA - 07","Cyanides (ionic)","Cyanures (ioniques)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.028,"tonnes","M3"
